# This is a NO-USE pre-TEA atmosphere file.
# TEA accepts a file in this format to produce 
# abundances as a function of pressure and temperature.

1, 2, 3, 4, 5, 6, 7, 8, 9, 0

# FILLER STUFF HERE

#FINDSPEC
H_g H2_ref H2O_l-g N_g NH_g NO_g N2_ref O_g OH_g O2_ref

#FINDTEA
#   Radius   Pressure    Temp     H    He     C     N     O    Si    Fe 
 99000.000 1.0000e-05 1500.00 12.00 10.93  8.43  7.83  8.69  7.51  7.50 
 98000.000 1.1768e-05 1500.00 12.00 10.93  8.43  7.83  8.69  7.51  7.50 
 97000.000 1.3849e-05 1500.00 12.00 10.93  8.43  7.83  8.69  7.51  7.50 
 96000.000 1.6298e-05 1500.00 12.00 10.93  8.43  7.83  8.69  7.51  7.50 
 95000.000 1.9179e-05 1500.00 12.00 10.93  8.43  7.83  8.69  7.51  7.50 
 94000.000 2.2570e-05 1500.00 12.00 10.93  8.43  7.83  8.69  7.51  7.50 
 93000.000 2.6561e-05 1500.00 12.00 10.93  8.43  7.83  8.69  7.51  7.50 
 92000.000 3.1257e-05 1500.00 12.00 10.93  8.43  7.83  8.69  7.51  7.50 
 91000.000 3.6784e-05 1500.00 12.00 10.93  8.43  7.83  8.69  7.51  7.50 
 90000.000 4.3288e-05 1500.00 12.00 10.93  8.43  7.83  8.69  7.51  7.50 
 89000.000 5.0941e-05 1500.00 12.00 10.93  8.43  7.83  8.69  7.51  7.50 
 88000.000 5.9948e-05 1500.00 12.00 10.93  8.43  7.83  8.69  7.51  7.50 
 87000.000 7.0548e-05 1500.00 12.00 10.93  8.43  7.83  8.69  7.51  7.50 
 86000.000 8.3022e-05 1500.00 12.00 10.93  8.43  7.83  8.69  7.51  7.50 
 85000.000 9.7701e-05 1500.00 12.00 10.93  8.43  7.83  8.69  7.51  7.50 
 84000.000 1.1498e-04 1500.00 12.00 10.93  8.43  7.83  8.69  7.51  7.50 
 83000.000 1.3530e-04 1500.00 12.00 10.93  8.43  7.83  8.69  7.51  7.50 
 82000.000 1.5923e-04 1500.00 12.00 10.93  8.43  7.83  8.69  7.51  7.50 
 81000.000 1.8738e-04 1500.00 12.00 10.93  8.43  7.83  8.69  7.51  7.50 
 80000.000 2.2051e-04 1500.00 12.00 10.93  8.43  7.83  8.69  7.51  7.50 
 79000.000 2.5950e-04 1500.00 12.00 10.93  8.43  7.83  8.69  7.51  7.50 
 78000.000 3.0539e-04 1500.00 12.00 10.93  8.43  7.83  8.69  7.51  7.50 
 77000.000 3.5938e-04 1500.00 12.00 10.93  8.43  7.83  8.69  7.51  7.50 
 76000.000 4.2292e-04 1500.00 12.00 10.93  8.43  7.83  8.69  7.51  7.50 
 75000.000 4.9770e-04 1500.00 12.00 10.93  8.43  7.83  8.69  7.51  7.50 
 74000.000 5.8570e-04 1500.00 12.00 10.93  8.43  7.83  8.69  7.51  7.50 
 73000.000 6.8926e-04 1500.00 12.00 10.93  8.43  7.83  8.69  7.51  7.50 
 72000.000 8.1113e-04 1500.00 12.00 10.93  8.43  7.83  8.69  7.51  7.50 
 71000.000 9.5455e-04 1500.00 12.00 10.93  8.43  7.83  8.69  7.51  7.50 
 70000.000 1.1233e-03 1500.00 12.00 10.93  8.43  7.83  8.69  7.51  7.50 
 69000.000 1.3219e-03 1500.00 12.00 10.93  8.43  7.83  8.69  7.51  7.50 
 68000.000 1.5557e-03 1500.00 12.00 10.93  8.43  7.83  8.69  7.51  7.50 
 67000.000 1.8307e-03 1500.00 12.00 10.93  8.43  7.83  8.69  7.51  7.50 
 66000.000 2.1544e-03 1500.00 12.00 10.93  8.43  7.83  8.69  7.51  7.50 
 65000.000 2.5354e-03 1500.00 12.00 10.93  8.43  7.83  8.69  7.51  7.50 
 64000.000 2.9836e-03 1500.00 12.00 10.93  8.43  7.83  8.69  7.51  7.50 
 63000.000 3.5112e-03 1500.00 12.00 10.93  8.43  7.83  8.69  7.51  7.50 
 62000.000 4.1320e-03 1500.00 12.00 10.93  8.43  7.83  8.69  7.51  7.50 
 61000.000 4.8626e-03 1500.00 12.00 10.93  8.43  7.83  8.69  7.51  7.50 
 60000.000 5.7224e-03 1500.00 12.00 10.93  8.43  7.83  8.69  7.51  7.50 
 59000.000 6.7342e-03 1500.00 12.00 10.93  8.43  7.83  8.69  7.51  7.50 
 58000.000 7.9248e-03 1500.00 12.00 10.93  8.43  7.83  8.69  7.51  7.50 
 57000.000 9.3260e-03 1500.00 12.00 10.93  8.43  7.83  8.69  7.51  7.50 
 56000.000 1.0975e-02 1500.00 12.00 10.93  8.43  7.83  8.69  7.51  7.50 
 55000.000 1.2915e-02 1500.00 12.00 10.93  8.43  7.83  8.69  7.51  7.50 
 54000.000 1.5199e-02 1500.00 12.00 10.93  8.43  7.83  8.69  7.51  7.50 
 53000.000 1.7886e-02 1500.00 12.00 10.93  8.43  7.83  8.69  7.51  7.50 
 52000.000 2.1049e-02 1500.00 12.00 10.93  8.43  7.83  8.69  7.51  7.50 
 51000.000 2.4771e-02 1500.00 12.00 10.93  8.43  7.83  8.69  7.51  7.50 
 50000.000 2.9151e-02 1500.00 12.00 10.93  8.43  7.83  8.69  7.51  7.50 
 49000.000 3.4305e-02 1500.00 12.00 10.93  8.43  7.83  8.69  7.51  7.50 
 48000.000 4.0370e-02 1500.00 12.00 10.93  8.43  7.83  8.69  7.51  7.50 
 47000.000 4.7508e-02 1500.00 12.00 10.93  8.43  7.83  8.69  7.51  7.50 
 46000.000 5.5908e-02 1500.00 12.00 10.93  8.43  7.83  8.69  7.51  7.50 
 45000.000 6.5793e-02 1500.00 12.00 10.93  8.43  7.83  8.69  7.51  7.50 
 44000.000 7.7426e-02 1500.00 12.00 10.93  8.43  7.83  8.69  7.51  7.50 
 43000.000 9.1116e-02 1500.00 12.00 10.93  8.43  7.83  8.69  7.51  7.50 
 42000.000 1.0723e-01 1500.00 12.00 10.93  8.43  7.83  8.69  7.51  7.50 
 41000.000 1.2619e-01 1500.00 12.00 10.93  8.43  7.83  8.69  7.51  7.50 
 40000.000 1.4850e-01 1500.00 12.00 10.93  8.43  7.83  8.69  7.51  7.50 
 39000.000 1.7475e-01 1500.00 12.00 10.93  8.43  7.83  8.69  7.51  7.50 
